legacy_path,status,vercel_destination
"/case-studies/american-water-damage-restoration","redirect","/case-studies/american-water-damage/"
"/pricing","retained","/pricing/"
"/cgp-lead-analysis-projection","rebuild",""
"/case-studies/sunshine-restoration","retained","/case-studies/sunshine-restoration/"
"/restoration-growth","rebuild",""
"/our-process","retained","/our-process/"
"/cgp-book-a-call","redirect","/contact/"
"/lead-generation-for-home-services","rebuild",""
"/contractor-growth-partners-test","redirect","/"
"/case-studies/romexterra-restoration","retained","/case-studies/romexterra-restoration/"
"/cgp-about-us","redirect","/about/"
"/about-us","redirect","/about/"
"/case-studies","retained","/case-studies/"
"/case-studies/restoration-heroes","rebuild",""
"/","retained","/"
"/restoration-growth-video","rebuild",""
"/case-studies/ercolano-cleaning-and-restoration","redirect","/case-studies/ercolano-cleaning-restoration/"
"/schedule-a-call","redirect","/contact/"
"/case-studies/1-800-water-damage-of-utah-county","redirect","/case-studies/1800-water-damage-utah/"
"/home-old","redirect","/"
"/voda-packages","rebuild",""
"/united-water-restoration-group-packages","rebuild",""
"/make-the-most-of-the-season-by-following-these-simple-guidelines","rebuild",""
"/keep-in-touch-with-site-visitors-and-boost-loyalty","rebuild",""
"/tips-for-writing-great-posts-that-increase-your-site-traffic","rebuild",""
